0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
1657;-46.25;5.25;42;37;43;27;1;16;30;10;12;5;20;24;13;9;8;15;14;14;28;14;11;6;6;10;1;14;12;60;2;3;9;5;2;10;74;13
1658;-45.75;5.25;30;30;22;23;16;22;33;14;7;16;14;19;13;15;6;12;11;15;21;15;17;11;4;5;0;14;10;50;0;2;1;3;9;20;179;34
1659;-45.25;5.25;16;36;44;47;7;16;19;12;7;11;11;25;10;4;6;6;19;10;22;12;17;8;6;1;0;18;26;11;0;0;9;3;2;11;81;19
1660;-44.75;5.25;24;26;27;59;6;15;16;11;6;10;13;16;10;6;4;10;13;15;24;13;18;7;5;2;2;36;5;32;2;4;6;1;7;5;60;17
1661;-44.25;5.25;36;35;42;64;4;15;25;6;4;10;5;17;11;5;9;7;14;11;19;9;14;20;9;2;0;23;5;9;3;4;5;0;4;4;44;42
1662;-43.75;5.25;19;20;24;51;4;12;20;11;3;28;3;24;7;10;5;14;9;10;17;4;26;54;2;0;1;16;4;13;1;2;4;0;7;18;54;25
1663;-43.25;5.25;15;20;19;59;4;19;20;8;3;37;6;21;10;9;7;25;8;11;13;13;7;13;6;5;2;19;2;14;2;1;7;1;16;23;16;27
1664;-42.75;5.25;10;28;22;184;6;24;16;9;6;10;8;17;7;5;5;105;15;19;15;5;25;18;4;3;0;15;4;10;0;2;10;0;9;95;10;29
1665;-42.25;5.25;18;26;52;195;2;28;25;6;2;3;7;15;13;11;13;65;7;17;18;2;52;5;26;2;3;16;2;37;2;6;1;3;21;70;39;9
1666;-41.75;5.25;13;23;18;207;2;11;20;11;4;2;6;18;14;6;10;26;16;11;13;11;24;17;17;6;0;18;5;56;0;2;4;9;26;54;97;36
1667;-41.25;5.25;16;28;18;141;6;17;35;6;5;2;6;13;16;8;4;22;20;12;9;5;24;7;2;2;2;23;6;15;2;9;3;2;6;33;44;21
1668;-40.75;5.25;11;25;13;134;3;19;23;8;8;3;4;9;26;6;4;28;39;14;6;6;21;6;1;1;0;32;7;26;2;5;15;21;6;20;8;8
1669;-40.25;5.25;10;16;26;258;20;12;18;5;0;0;9;11;20;8;5;24;15;7;16;6;17;5;0;4;3;21;9;143;1;4;12;6;6;15;22;4
1670;-39.75;5.25;13;23;16;148;66;22;15;6;5;5;3;5;32;3;13;27;25;7;9;3;14;2;5;4;2;21;13;109;0;7;3;3;9;13;16;7
1671;-39.25;5.25;25;31;20;138;21;14;20;5;5;3;8;8;21;5;4;25;16;14;13;15;17;1;27;6;2;17;23;100;0;1;3;2;7;1;21;5
1672;-38.75;5.25;20;20;47;234;2;14;30;5;11;7;10;15;30;8;9;21;8;16;15;7;16;4;17;5;0;18;4;50;4;5;5;25;3;3;17;8
1724;-62.25;4.75;80;1505;2031;427;268;512;1653;1852;866;1221;2026;1231;63;1730;1634;37;303;204;469;769;1663;573;1614;725;4;801;1905;612;98;824;486;1304;804;1239;1487;1152
1725;-61.75;4.75;34;1247;2175;361;65;453;991;1395;588;848;1217;907;30;584;552;12;231;185;188;339;893;349;1095;483;5;577;886;305;22;1004;449;1003;1068;801;941;454
1726;-61.25;4.75;22;1063;1467;92;27;131;269;760;269;138;813;702;13;332;347;7;64;40;123;142;364;199;520;328;3;267;911;55;5;164;254;464;679;511;1359;1031
1727;-60.75;4.75;12;634;1753;24;15;16;61;326;79;106;523;270;10;210;599;5;24;20;46;56;69;81;309;324;2;119;851;12;2;28;56;87;252;289;886;418
1728;-60.25;4.75;8;503;834;26;19;16;34;119;55;111;341;148;10;165;85;5;9;9;19;54;86;67;192;112;3;161;465;0;2;11;36;24;180;215;498;250
1729;-59.75;4.75;10;108;206;12;12;10;31;181;92;137;498;118;11;30;12;4;8;2;21;49;118;83;285;92;0;56;179;1;1;17;29;42;114;204;206;169
1730;-59.25;4.75;13;284;212;44;12;27;64;129;303;236;836;244;11;46;38;0;12;19;24;105;732;292;889;142;0;85;271;26;6;23;129;161;222;854;640;150
1731;-58.75;4.75;12;971;274;90;3;44;59;313;581;185;1047;659;12;71;94;3;35;27;18;187;767;666;617;202;3;157;765;48;2;32;97;254;492;783;1753;265
1732;-58.25;4.75;4;896;575;61;4;102;47;192;250;153;687;532;6;79;33;9;29;14;19;124;256;521;1053;632;2;69;793;18;2;32;117;323;447;694;901;214
1733;-57.75;4.75;10;320;532;156;4;56;44;412;399;118;908;340;6;113;15;4;11;11;39;60;775;846;1056;937;0;43;100;7;3;22;142;299;344;584;688;205
1734;-57.25;4.75;23;197;922;430;10;20;56;193;290;105;952;216;11;54;27;4;19;16;25;134;344;394;682;486;2;59;225;28;0;4;162;219;312;790;488;432
1735;-56.75;4.75;12;166;479;199;9;29;98;403;222;143;251;143;21;13;30;5;46;32;44;222;290;257;626;207;2;217;94;40;1;12;137;351;280;645;344;229
1736;-56.25;4.75;10;155;388;163;15;31;79;1033;426;292;285;94;38;32;77;10;43;70;73;192;356;412;1264;130;3;213;167;60;1;13;185;487;257;436;237;200
1737;-55.75;4.75;10;90;255;291;15;30;59;1540;1013;360;378;127;25;28;145;7;36;96;96;212;170;152;471;116;1;124;100;54;4;79;415;338;276;398;124;107
1738;-55.25;4.75;9;291;349;150;23;21;74;957;699;311;875;113;28;105;36;5;31;38;134;346;400;425;420;239;0;71;189;49;4;16;193;475;338;635;257;143
1739;-54.75;4.75;14;148;716;140;20;22;112;467;623;399;820;137;35;147;27;26;29;16;200;488;750;614;425;85;1;77;281;88;4;11;632;626;897;736;296;264
1740;-54.25;4.75;25;148;344;73;21;26;112;672;295;285;632;130;16;296;43;7;16;23;131;399;509;366;729;99;1;27;217;40;3;11;446;443;793;1087;474;181
1741;-53.75;4.75;22;144;520;83;18;43;224;757;196;354;1231;255;35;258;87;8;38;11;67;165;683;519;602;121;4;39;187;28;3;8;354;383;393;896;221;277
1742;-53.25;4.75;15;205;286;39;14;47;107;236;160;401;1235;393;23;159;47;12;24;14;46;76;731;402;402;243;2;37;154;32;2;8;259;322;446;740;490;318
1743;-52.75;4.75;19;596;570;54;18;18;107;301;234;508;1083;290;20;153;36;4;15;8;60;174;693;543;998;337;1;48;402;44;7;6;312;497;997;1340;619;374
1744;-52.25;4.75;11;475;212;28;16;20;36;78;89;526;408;101;11;214;18;3;13;18;40;41;138;164;168;19;1;12;54;31;1;6;92;178;546;260;210;123
